Industry,2017,2018,2019,2020,2021,2022,2023
Всего по экономике,39167.0,43724.0,47867.0,51344.0,57243.7,65338.3,73709.3
Сельское хозяйство,25671.1,28699.0,31727.6,34770.0,39436.8,46777.0,52868.3
Добыча ископаемых,74474.1,83177.0,89343.7,95359.0,103473.5,118375.7,130825.6
Обработка,38501.5,43400.0,47500.0,51000.0,56400.0,66000.0,75000.0
Строительство,33677.9,38518.0,42630.2,44738.0,52250.6,60849.5,68944.4
Торговля,32092.5,35444.0,40137.0,42358.0,50388.6,57806.0,63400.0
Транспорт,43966.8,48654.0,51138.0,52939.0,58273.8,66526.1,74500.0
IT и связь,58811.2,66590.0,75452.0,88241.0,106056.9,121720.4,135000.0
Образование,30257.6,34361.0,37071.0,39563.0,43390.5,48400.0,54262.7
Здравоохранение,31975.0,40027.0,43122.0,49539.0,50690.1,55420.0,61485.5